Smiles,Corrected
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,4000
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,3900
Cn1c(/C=C/c2ccc(C#N)cc2C(=O)O)cc2ccccc21,390.03
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,382
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C)C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,37000
CC(C)NCC(O)COc1cccc2ccccc12,354813.39
CC(C)c1csc(CCc2ccn3c(=O)c(-c4nnn[nH]4)cnc3c2)n1,327000
CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)N[C@@H](CCCCN)C(=O)NCCCCN=[N+]=[N-])C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O)[C@@H](C)CC,321
CNC(C)[C@H]1CCC(NC(=O)OCC2c3ccccc3-c3ccc(S(=O)(=O)O)cc32)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,32000
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,309029.54
CCCCCCCCN(CCC(=O)Nc1ccccc1)CCC(=O)NC1CCCCC1,3000
CC(=N)c1c(O)c(O)c(C(C)C)c2cc(C)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(C(C)=N)c4c3O)c(O)c12,3000
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,3000
CCCCCCCCN(CCC(=O)Nc1ccccc1)CCC(=O)Nc1ccccc1,28000
CC(C)c1csc(/C=C/c2cccc(NC(=O)Cc3ccccc3C(=O)O)c2)n1,280
O=C1C(N2CCCC2)=NN(c2ccc(Cl)cc2)CN1c1ccccc1Cl,2770
N=C(N)NCCCCCCCCNCCCCCCCCNC(=N)NCC1CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,26520
O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,2500
O=C1C(N2CCCC2)=NN(c2ccccc2)CN1c1ccccc1Cl,2460
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,24547.09
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2454.71
N=C(N)NCCCCCCCCN(CCCCCCCCNC(=N)NCC1CC1)C(=O)N(CCCCCCCCNC(=N)N)CCCCCCCCNC(=N)NCC1CC1,23270
O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,2300
CC(C)(C)c1cc(C(=O)/C(C#N)=N/Nc2cccc(Cl)c2)no1,230
CC(C)c1csc(/C=C/c2ccn3c(=O)c(-c4nnn[nH]4)cnc3c2)n1,22000
CNC(C)[C@H]1CCC(N)[C@@H](O[C@@H]2C(N)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,20000
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2000
N#Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c(C(=O)O)c1,2000
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C)C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,19000
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C)C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,19000
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1900
CC(=O)c1cccc(N(CCO)c2nc(-c3sc(NC(=O)C(C)(C)C)nc3C)cs2)c1,18490
CNC(C)[C@H]1CCC(NC(=O)OCC2c3ccccc3-c3ccc(S(=O)(=O)O)cc32)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,17200
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1600
Cc1cc2c(C(C)C)c(O)c(O)c(C(=O)O)c2cc1-c1cc2c(C(=O)O)c(O)c(O)c(C(C)C)c2cc1C,1500
O=C(O)Cc1ccccc1S(=O)(=O)c1ccc(-c2ccc(OCCF)cc2)cc1,140000
N#Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c(C(=O)O)c1,14000
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-],13600
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,130000
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1300
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,1230.27
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,120000
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,12000
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,12000
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,12000
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,12000
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,12000
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,12000
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,12000
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,12000
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,12000
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,12000
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2cc1-c1cc2c(C=O)c(O)c(O)c(C(C)C)c2cc1C,1200
COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)c3ccccc3)nc2C)cs1,11680
CN(C)C1=NN(c2ccc(Cl)cc2)CN(c2ccccc2Cl)C1=O,10210
COc1ccc2oc(-c3csc4ccccc34)c(O)c(=O)c2c1,10000
O=C(O)Cc1ccccc1S(=O)(=O)c1ccc(-c2ccc(NC(=O)CF)cc2)cc1,10000
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,184501845
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1000000
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N3CCC[C@H]3C(=O)O)O2)c(=O)[nH]c1=O,1058649.164
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)O2)c(=O)[nH]c1=O,1058649.164
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)O2)c(=O)[nH]c1=O,1122460.433
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)O)O2)c(=O)[nH]c1=O,1231982.259
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)O2)c(=O)[nH]c1=O,1231982.259
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N3CCC[C@H]3C(=O)O)O2)c(=O)[nH]c1=O,1231982.259
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)O2)c(=O)[nH]c1=O,1395283.94
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](CC(C)C)C(=O)O)O2)c(=O)[nH]c1=O,1463700.234
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)O)O2)c(=O)[nH]c1=O,161256.5107
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)O)O2)c(=O)[nH]c1=O,1654259.719
